7,Fresh Orange Juice,1,2000.0,2025-02-13 15:29:11
7,Watermelon Juice,1,2200.0,2025-02-13 15:29:11
7,Chapman,1,2500.0,2025-02-13 15:29:11
2,Fresh Orange Juice,1,2000.0,2025-02-13 16:41:43
2,Watermelon Juice,1,2200.0,2025-02-13 16:41:43
7,Watermelon Juice,1,2200.0,2025-02-13 16:41:44
7,Meat Pie,1,1200.0,2025-02-13 16:41:44
1,Fresh Orange Juice,1,2000.0,2025-02-13 16:41:45
1,Watermelon Juice,1,2200.0,2025-02-13 16:41:45
7,Fresh Orange Juice,1,2000.0,2025-02-13 16:43:34
7,Watermelon Juice,1,2200.0,2025-02-13 16:43:34
7,Meat Pie,1,1200.0,2025-02-13 16:43:34
7,Chapman,1,2500.0,2025-02-13 16:43:34
7,Chapman,1,2500.0,2025-02-13 16:43:34
7,Chapman,1,2500.0,2025-02-13 16:43:34
7,Chapman,1,2500.0,2025-02-13 16:43:34
7,Chapman,1,2500.0,2025-02-13 16:43:34
1,Fresh Orange Juice,1,2000.0,2025-02-13 17:06:30
1,Watermelon Juice,1,2200.0,2025-02-13 17:06:30
1,Chapman,1,2500.0,2025-02-13 17:06:30
5,Fresh Orange Juice,1,2000.0,2025-02-13 17:06:32
5,Peppered Snail,1,4500.0,2025-02-13 17:06:32
10,Watermelon Juice,1,2200.0,2025-02-13 17:30:51
10,Chapman,1,2500.0,2025-02-13 17:30:51
10,Fresh Orange Juice,1,2000.0,2025-02-13 17:30:51
10,Watermelon Juice,1,2200.0,2025-02-13 17:30:51
3,Fresh Orange Juice,1,2000.0,2025-02-13 17:40:31
3,Watermelon Juice,1,2200.0,2025-02-13 17:40:31
3,Watermelon Juice,1,2200.0,2025-02-13 17:40:31
9,Fresh Orange Juice,1,2000.0,2025-02-13 17:47:21
3,Watermelon Juice,1,2200.0,2025-02-13 17:47:22
